Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
Frozenbyte,Europe,Helsinki (Finland),2001,~50-80,Trine,https://www.frozenbyte.com,press@frozenbyte.com (press),co-op puzzle,Trine; Trine 2; Trine 4; Trine 5: A Clockwork Conspiracy; Trine series; Trine serisi,unknown,office,independent,Finland co-op puzzle.
Fun Labs,Europe,Bucharest (Romania),1999,~50-100,co-dev,https://www.funlabs.com,unknown,co-dev,Cabela's series; various licensed shooters; hunting sims; Fun Labs catalog,unknown,office,independent,Romania co-dev.
Funcom,Europe,Oslo (Norway),1993,~400+,Conan / Dune MMO,https://www.funcom.com,press@funcom.com (press),MMO / action-adventure,Conan Exiles; Dune: Awakening; The Secret World,unknown,office,Tencent,Norway MMO/action.
Futureplay,Europe,Helsinki (Finland),2015,~50-100,mobile hybrid,https://futureplay.com,hello@futureplay.com (general); press@futureplay.com (press),mobile,Merge Gardens; Idle Frontier; Futureplay hybrid-casual; Stillfront mobile; various hybrid-casual,unknown,office,Stillfront,Finland mobile.
FuturLab,Europe,Brighton (UK),2004,~30-50,Velocity,https://www.futurlab.co.uk,press@futurlab.co.uk (press),indie action,Velocity; Velocity 2X; PowerUps; FuturLab twin-stick catalog; Velocity series; Velocity serisi,unknown,office,independent,Brighton indie.
Gaijin Entertainment,Europe,Budapest (Hungary),2002,~500+,War Thunder,https://gaijin.net,press@gaijinent.com (press),MMO military sim,War Thunder; Enlisted; Crossout; CRSED,unknown,office,private,Military vehicle MMO.
Galactic Cafe,Europe,BK,2013,small / solo,The Stanley Parable,https://www.galactic-cafe.com,press@galactic-cafe.com (press),indie narrative,The Stanley Parable; The Beginner's Guide; Ultra Deluxe,unknown,small,independent,Narrative meta-indie.
Gamechuck,Europe,Zagreb (Croatia),2018,small,indie publishing,https://gamechuck.com,hello@gamechuck.com (general),publish,The Last Hero of Nostalgaia publishing; Croatian indie slate; Gamechuck catalog; regional indies; Croatian indie publishing; various regional indie,unknown,hybrid,independent,Croatian indie publisher/community.
Gameforge,Europe,Karlsruhe (Germany),2005,~300+,browser MMO publishing,https://www.gameforge.com,press@gameforge.com (press),MMO publishing,Metin2; Ikariam; NosTale; OGame,unknown,office,private,German browser/MMO.
Gameloft,Europe,Paris (France),1999,~4000+,Mobile under Vivendi,https://www.gameloft.com,press@gameloft.com (press),mobile AAA / casual,Asphalt 9; March of Empires; Modern Combat; Dragon Mania; Dragon Mania Legends; Asphalt; Disney/Marvel licenses,unknown,mixed,Vivendi,Early mobile pioneer; global studio footprint.
Gameloft Bucharest,Europe,Bucharest (Romania),2000,~300-500,mobile,https://www.gameloft.com,press@gameloft.com (press),mobile,Asphalt; Gameloft midcore Romania; various Gameloft,unknown,office,Gameloft,Gameloft Romania campus.
Gaming Minds Studios,Europe,Gütersloh (Germany),2009,~50-100,Railway Empire; Port Royale,https://www.gaming-minds.com,press@gaming-minds.com (press),sim / strategy,Railway Empire; Port Royale; Tropico (seasonal),unknown,office,Kalypso,German sim/strategy.
Ghost Games,Europe,Gothenburg (Sweden),2011-2020,closed / distributed,Need for Speed,https://www.ea.com,press@ea.com (press),racing,Need for Speed Heat; NFS Payback; Need for Speed (2015-2019 era),-,-,EA (closure),Historical EA racing studio.
Ghost Ship Games,Europe,Copenhagen (Denmark),2016,~40–80,Deep Rock Galactic,https://www.ghostship.dk,press@ghostship.dk (press),co-op FPS,Deep Rock Galactic; Deep Rock Galactic: Survivor; DRG seasons; Ghost Ship co-op; DRG Survivor,unknown,office,independent (Coffee Stain publishing),Dwarf-space mine co-op.
Ghost Town Games,Europe,Cambridge (UK),2014,small,Overcooked,https://www.ghosttowngames.com,unknown,co-op party,Overcooked!; Overcooked; Overcooked 2,unknown,small,independent,Chaotic co-op kitchen.
Goodgame Studios,Europe,Hamburg (Germany),2009,~200–400 range,unknown,https://www.goodgamestudios.com,press@goodgamestudios.com (press),browser / mobile,Goodgame Empire; Big Farm; Shadow Kings; Goodgame browser/strategy catalog,unknown,office,private,Hamburg social/strategy.
Grimlore Games,Europe,Munich (Germany),2013,~30-60,Iron Harvest,https://www.grimloregames.com,press@grimloregames.com (press),RTS,SpellForce 3; Iron Harvest; SpellForce refinements; Grimlore RTS catalog,unknown,office,Embracer,German RTS.
GSC Game World,Europe,Prague / Kyiv (Ukrainian roots),1995,~300–400,S.T.A.L.K.E.R. 2,https://www.gsc-game.com,press@gsc-game.com (press),FPS / open world,S.T.A.L.K.E.R. 2; Call of Pripyat; Shadow of Chernobyl; S.T.A.L.K.E.R. series; S.T.A.L.K.E.R. serisi,unknown,Prague office (post-war relocation),independent,Ukrainian roots; production shifted to Prague.
Guerrilla Cambridge (tarihsel),Europe,Cambridge (UK),1997-2019,closed,Killzone Vita / support,https://www.guerrilla-games.com,press@guerrilla-games.com (press),FPS / support,Killzone Vita / Mercenary (legacy); Killzone: Shadow Fall support; Vita; Killzone: Shadow Fall destek,-,-,closed (Sony),Historical Guerrilla satellite.
Haemimont Games,Europe,Sofia (Bulgaria),1997,~50-100,Tropico (old); Surviving Mars,https://www.haemimontgames.com,press@haemimontgames.com (press),strategy / sim,Surviving Mars; Stranded: Alien Dawn; Tropico (hist.),unknown,office,independent,Bulgarian strategy/sim.
HandyGames,Europe,Giebelstadt (Germany),2000,~100+,mobile / console publishing,https://www.handygames.com,press@handygames.com (press),publisher; casual,One Hand Clapping; Undead Horde; Sky Force Anniversary; HandyGames Embracer mobile; Embracer mobile / indie label,unknown,office,Embracer,"Embracer mobile/indie label (One Hand Clapping, Sky Force)."
Hangar 13 Brighton,Europe,Brighton (UK),—,In-house Hangar 13,Mafia support,https://hangar13games.com,press@2k.com (press),AAA support,Mafia support; Hangar 13 UK; Support for Mafia series; Mafia serisi destek,unknown,office,Take-Two / 2K,Hangar 13 UK subsidiary.
Happy Crush / not — Snowprint Studios,Europe,Stockholm (Sweden),2017,~100-200,Warhammer Tacticus,https://www.snowprintstudios.com,press@snowprintstudios.com (press),mobile strategy,"Warhammer 40,000: Tacticus; Snowprint live ops; Tacticus seasons; mobile strategy",unknown,office,independent,Sweden mobile strategy.
Hatch Entertainment,Europe,Helsinki (Finland),2016,~50-100,cloud gaming / subscription,https://www.hatch.live,press@hatch.fi (press),cloud / subscription,Hatch Cloud Gaming; cloud streaming service; Hatch platform; Nordic cloud gaming,unknown,office,private,Finland cloud gaming.
Hello Games,Europe,Guildford (UK),2008,~50 range,No Man's Sky long tail,https://hellogames.org,hello@hellogames.org (general),procedural exploration,No Man's Sky; The Last Campfire; Joe Danger,unknown,office,independent,No Man's Sky long-tail live support redefined studio reputation.
Homa Games,Europe,Paris / London,2018,~400+,hypercasual publishing,https://www.homagames.com,press@homagames.com (press),mobile hypercasual / hybrid,hybridcasual publishing; Save the Dog; Heartbeat Hero; hybridcasual publishing slate; multi-title portfolio,unknown,hybrid,private,European hypercasual publishers.
Hutch,Europe,London (UK),2011,~100-200,mobile racing,https://www.hutch.io,unknown,mobile racing,F1 Clash; Top Drives; Rebel Racing; Hutch motorsport catalog,unknown,office,independent,Mobile racing/management.
Huuuge Games,Europe,Warsaw (Poland),2014,~500+,mobile casino / casual,https://huuuge.com,careers@huuugegames.com (HR); support@huuugegames.com (support); business@huuugegames.com (biz),mobile casino,Huuuge Casino; Traffic Puzzle; Billionaire Casino; Huuuge social casino,unknown,office,public,Poland mobile.
Hyperstrange,Europe,Poland,2018,~20-40,indie / publishing support,https://hyperstrange.com,unknown,indie; co-dev,Paradise Lost; Observer support; Hyperstrange publishing/dev; Polish indie slate; various indie,unknown,hybrid,independent,Poland indie/co-dev.
Iceflake Studios,Europe,Tampere (Finland),2007,~30-60,Not Pacific Drive — Surviving the Aftermath,https://iceflake.com,pr@paradoxinteractive.com (press); support@iceflake.com (support),strategy / sim,Surviving the Aftermath; Cities in Motion support eras; Iceflake strategy; Paradox studio; Train Sim World not a contribution,unknown,office,Paradox (acquisition),Finland strategy; Paradox.
Image & Form,Europe,Gothenburg (Sweden),1997,~30-50,SteamWorld,https://imageform.se,press@imageform.se (press),indie action,SteamWorld Dig; SteamWorld Heist; Heist; Build,unknown,office,Thunderful,SteamWorld IP.
Independent Arts Software,Europe,Hamm (Germany),1990,~50-100,port / co-dev,https://www.independentartssoftware.com,press@independent-arts.com (press),port,AAA ports Germany; Nintendo/Switch co-dev; Independent Arts ports; German work-for-hire; co-dev / ports Germany; very port/co-dev,unknown,office,independent,German port.
InnoGames,Europe,Hamburg (Germany),2007,~400+,Modern Times Group,https://www.innogames.com,press@innogames.com (press),browser / mobile strategy,Forge of Empires; Elvenar; Tribal Wars,yes — internship (Germany),office / hybrid,MTG,Germany mobile/browser.
IO Interactive,Europe,Copenhagen (Denmark),1998,~300–400,Hitman + Project 007,https://www.ioi.dk,press@ioi.dk (press),AAA stealth,Hitman World of Assassination; Hitman 3; Kane & Lynch; Hitman WoA,unknown,office,independent (post-Square Enix release),Hitman World of Assassination live-service single-player hybrid.
Iron Gate Studio,Europe,Sweden,2019,~20-40,Valheim,https://irongatestudio.se,press@irongatestudio.se (press),survival sandbox,Valheim; Mistlands; Ashlands; Ashlands update; Valheim Ashlands; deep north updates,unknown,small,independent,Valheim survival phenomenon; Coffee Stain published.
ironSource,Middle East,Tel Aviv (Israel),2010,~1000+,mobile meditation / game tools,https://www.is.com,press@ironsrc.com (press),mobile infrastructure / publishing tools,LevelPlay; Aura; Unity ads stack; LevelPlay mediation; Hypercasual publishing tools,unknown,office,Unity (acquisition 2022),Mobile game growth infrastructure.
Ironward,Europe,Ukraine / EU,2012,~30-50,Vikings ARPG,https://ironward.com,unknown,action-RPG,Vikings: Wolves of Midgard; Ironward ARPG; co-dev action RPGs; THQ Nordic partnership,unknown,distributed,independent,Ukrainian ARPG.
Isomorphic / Zen Studios,Europe,Budapest (Hungary),2003,~100–150,pinball / VR,https://www.zenstudios.com,press@zenstudios.com (press),pinball / casual,Pinball FX; VR pinball; Zen Pinball,unknown,office,Embracer,Digital pinball leader.
Ivory Tower,Europe,Lyon (France),2007,~200–300,The Crew,https://www.ivory-tower.fr,press@ubisoft.com (press),open world racing,The Crew Motorfest; The Crew 2; The Crew; The Crew series; The Crew serisi,unknown,office,Ubisoft,Lyon racing.
Jagex,Europe,Cambridge (UK),2001,~500+,RuneScape,https://www.jagex.com,press@jagex.com (press),MMORPG,RuneScape; Old School RuneScape; Chronicle: RuneScape Legends; Jagex MMO catalog; Chronicle,unknown,office,private (CVC),RuneScape / OSRS longevity; UK MMO institution.
Jumpship,Europe,London / Dundee (UK),2018,~30-50,Somerville; Project C,https://jumpship.co.uk,info@jumpship.co.uk (general); press@jumpship.co.uk (press); support@jumpship.co.uk (support),narrative / sci-fi,Somerville; Jumpship narrative adventure; cinematic indie; Belgian studio debut,unknown,office,independent,Chris Lee (Inside/Limbo art); sci-fi narrative.
Jutsu Games,Europe,Łódź (Poland),2012,~20-40,This War of Mine DLC support / management,https://jutsugames.com,unknown,strategy / management,Not Disaster Report — Anomaly; Not Space Haven — OwnGames: Frostpunk support periods; Management,unknown,office,independent,Poland management/strategy; This War of Mine team relations.
Kalypso Media,Europe,Worms (Germany),2006,~200+ (group),publisher / strategy,https://www.kalypsomedia.com,press@kalypsomedia.com (press),publishing; strategy; sim,Tropico; Railway Empire; Dungeons; Sudden Strike,unknown,mixed,private,German strategy/sim publishing.
Keen Games,Europe,Frankfurt (Germany),2005,~50-100,Portal Knights; Gothic remake,https://keengames.com,press@keengames.com (press),action-RPG,Portal Knights; Gothic 1 Remake; Keen co-op crafting; THQ Nordic partnership,unknown,office,independent,German AA/indie.
Keen Software House,Europe,Prague (Czech Republic),2010,~50–100,Space Engineers,https://www.keenswh.com,info@keenswh.com (general),sandbox / space sim,Space Engineers; Medieval Engineers; VRAGE engine; Keen sandbox catalog,unknown,office,independent,VRage engine; voxel sandbox.
Keywords Studios,Europe,Dublin (Ireland),1998,~12000+,service holding,https://www.keywordsstudios.com,info@keywordsstudios.com (general),QA; localization; art,QA; localization; art services; QA / localization / art services; industry services,unknown,global,public (BK),Game services consolidator.
Kiloo,Europe,Aarhus (Denmark),2000,~100+,Subway Surfers partner,https://kiloo.com,unknown,mobile publishing / development,Subway Surfers (with SYBO); Frisbee Forever; Kiloo publishing; Danish mobile catalog; Subway Surfers (SYBO partner); Subway Surfers (SYBO ortak),unknown,office,private,With SYBO Subway Surfers.
King Art Games,Europe,Bremen (Germany),2000,~50-100,The Dwarves; not Iron Harvest — Expeditions support?,https://www.kingart-games.com,pr@kingart-games.com (press),RPG / strategy,The Dwarves; Iron Sky; The Dive,unknown,office,independent,"German narrative/strategy studio (The Dwarves, Iron Harvest ties)."
King Barcelona,Europe,Barcelona (Spain),—,in King,casual development,https://king.com,press@king.com (press),mobile casual,Candy Crush Saga live-ops; King Barcelona events; Saga match-3; Activision King campus; King casual portfolio; King portfolio,unknown,office,Microsoft / Activision,King/Activision Barcelona campus for Candy Crush live-ops.
King London,Europe,London (UK),—,in King,Candy Crush operation,https://king.com,press@king.com (press),mobile casual,Candy Crush ecosystem; King live-ops; Candy Crush Saga ecosystem; Candy Crush Saga ekosistemi,unknown,office,Microsoft / Activision,King/Activision London campus for Saga live-ops.
King Stockholm,Europe,Stockholm (Sweden),2003 (King HQ),King central,Candy Crush,https://king.com,press@king.com (press),mobile casual,Candy Crush Saga; Farm Heroes Saga; Bubble Witch,unknown,office,Microsoft / Activision,King founding campus in Stockholm (Candy Crush origin).
Kwalee,Europe,Leamington Spa (UK),2011,~200+,mobile,https://www.kwalee.com,unknown,mobile hypercasual,Draw It; Crowd City; hybrid titles,unknown,office,independent,BK mobile.
Kylotonn,Europe,Paris (France),2002,~100-150,TT Isle of Man; WRC,https://www.kylotonn.com,press@kylotonn.com (press),racing,WRC; TT Isle of Man; WRC periodic,unknown,office,Nacon,French sim/arcade racing.
Landfall Games,Europe,Stockholm (Sweden),2017,~10-30,Totally Accurate Battle Simulator,https://landfall.se,contact@landfall.se (general),indie physics / comedy,Totally Accurate Battle Simulator; Content Warning; Clustertruck; TABS,unknown,small,independent,Swedish physics comedy indie.
Larian Studios,Europe,Ghent (Belgium) + global,1996,~450+,BG3 record sales,https://larian.com,info@larian.com (general); press@larian.com (press); support@larian.com (support),CRPG,Baldur's Gate 3; Divinity: Original Sin 2; Divinity: Original Sin; Divinity: Dragon Commander,unknown,"multi-office (Ghent, Quebec, Kuala Lumpur…)",independent,Post-BG3 independent flagship; CRPGs with systemic depth.
